Country Name,Capitol City,Population,GDP,COVID Cases,COVID Deaths,Area
Mongolia,Ulan Bator,3278290,13312981595,978960,2128,1564110
South Africa,Pretoria,59308690,3.35E+11,4011431,102084,1221037
Georgia,Tbilisi,3989167,15846489611,1735682,16889,69700
Ireland,Dublin,4937786,4.26E+11,1655338,7820,70273
Cyprus,Nicosia,1207359,24612646488,576278,1168,9251
India,New Delhi,1380004385,2.66E+12,44418585,527829,3287590
Belize,Belmopan,397628,1636280797,68187,680,22966
Bulgaria,Sofia,6948445,69889347433,1241273,37599,110879
Chad,N'Djamena,16425864,10829076802,7536,193,1284000
Turkey,Ankara,84339067,7.20E+11,16671848,100400,783562
Lebanon,Beirut,6825445,31735217785,1208681,10622,10452
Cambodia,Phnom Penh,16718965,25808561551,137581,3056,181035
Madagascar,Antananarivo,27691018,13056079982,66626,1410,587041
Bangladesh,Dhaka,164689383,3.23E+11,2011560,29323,147570
Kenya,Nairobi,53771296,1.01E+11,338165,5674,580367
Australia,Canberra,25499884,1.33E+12,10005838,13759,7692024
Pakistan,Islamabad,220892340,2.63E+11,1568453,30574,881912
Colombia,Bogota,50882891,2.71E+11,6299595,141519,1141748
Slovenia,Ljubljana,2078938,53589609581,1122961,8121,20273
Lithuania,Vilnius,2722289,56546957475,1217300,9286,65300
Slovak Republic,Bratislava,5459642,1.05E+11,1833873,20349,49037
Angola,Luanda,32866272,58375976293,102636,1917,1246700
Moldova,Chisinau,4033963,11915547263,569088,11725,33846
Gabon,Libreville,2225734,15316826192,48635,306,267668
Zimbabwe,Harare,14862924,18051170799,256708,5593,390757
Montenegro,Podgorica,628066,4769860741,275089,2771,13812
South Korea,Seoul,51269185,1.64E+12,23142479,26689,100210
Jamaica,Kingston,2961167,13812425037,149714,3252,10991
Mauritius,Port Louis,1271768,10920606198,256452,1023,2040
Liberia,Monrovia,5057681,3201187800,7835,294,111369
Haiti,Port-au-Prince,11402528,14508218017,33381,841,27750
Portugal,Lisbon,10196709,2.29E+11,5413173,24839,92090
Zambia,Lusaka,18383955,18110631358,332527,4016,752612
Romania,Bucharest,19237691,2.49E+11,3212211,66639,238391
Sweden,Stockholm,10099265,5.41E+11,2564423,19810,450295
Sudan,Khartoum,43849260,21329109522,63228,4961,1886068
Senegal,Dakar,16743927,24644234595,88082,1968,196722
Togo,Lome,8278724,7574636979,38465,282,56785
Morocco,Rabat,36910560,1.15E+11,1264342,16272,446550
Ecuador,Quito,17643054,98808010000,995111,35832,276841
Azerbaijan,Baku,10139177,42607176471,812248,9805,86600
Latvia,Riga,1886198,33707320816,897957,5944,64559
Cote d'Ivoire,Yamoussoukro,26378275,61348579465,86650,817,322463
Singapore,Singapur,5850342,3.40E+11,1834190,1591,710
Chile,Santiago,19116201,2.53E+11,4499223,60435,756102
Greece,Athens,10423054,1.89E+11,4712025,32335,131990
Albania,Tirana,2877797,14887629268,327425,3582,28748
